start,tweet_count,DateInt,ticker
5,426,20230401,SCHW
6,438,20230402,SCHW
0,445,20230403,SCHW
1,745,20230404,SCHW
2,846,20230405,SCHW
3,641,20230406,SCHW
4,1385683,20230331,AI
5,1285524,20230401,AI
6,1326628,20230402,AI
0,1374782,20230403,AI
1,1637033,20230404,AI
2,1834492,20230405,AI
3,1479162,20230406,AI
4,1388,20230331,LLY
5,1716,20230401,LLY
6,1651,20230402,LLY
0,1652,20230403,LLY
1,1312,20230404,LLY
2,1405,20230405,LLY
3,1288,20230406,LLY
6,6972,20230423,TSLA
0,25519,20230424,TSLA
1,12774,20230425,TSLA
2,15413,20230426,TSLA
3,12959,20230427,TSLA
4,12671,20230428,TSLA
5,6103,20230429,TSLA
6,1791,20230423,NVDA
0,2615,20230424,NVDA
1,3551,20230425,NVDA
2,3691,20230426,NVDA
3,3135,20230427,NVDA
4,3638,20230428,NVDA
5,1616,20230429,NVDA
6,2973,20230423,MSFT
0,5717,20230424,MSFT
1,13717,20230425,MSFT
2,17564,20230426,MSFT
3,8068,20230427,MSFT
4,6834,20230428,MSFT
5,2854,20230429,MSFT
6,3449,20230423,AAPL
0,4385,20230424,AAPL
1,6006,20230425,AAPL
2,5978,20230426,AAPL
3,4514,20230427,AAPL
4,6304,20230428,AAPL
5,2923,20230429,AAPL
6,95913,20230423,META
0,117126,20230424,META
1,117162,20230425,META
2,108824,20230426,META
3,108551,20230427,META
4,90799,20230428,META
5,102958,20230429,META
6,1178,20230423,GOOGL
0,2314,20230424,GOOGL
1,6602,20230425,GOOGL
2,4639,20230426,GOOGL
3,1818,20230427,GOOGL
4,1598,20230428,GOOGL
5,867,20230429,GOOGL
6,151950,20230423,AMZN
0,173221,20230424,AMZN
1,177735,20230425,AMZN
2,194090,20230426,AMZN
3,174415,20230427,AMZN
4,172077,20230428,AMZN
5,140389,20230429,AMZN
6,10032,20230423,AMD
0,10774,20230424,AMD
1,13847,20230425,AMD
2,12631,20230426,AMD
3,12848,20230427,AMD
4,13988,20230428,AMD
5,10285,20230429,AMD
6,2623,20230423,GOOG
0,3752,20230424,GOOG
1,5628,20230425,GOOG
2,4611,20230426,GOOG
3,3361,20230427,GOOG
4,3417,20230428,GOOG
5,2368,20230429,GOOG
6,76319,20230423,BABA
0,69914,20230424,BABA
1,92002,20230425,BABA
2,86288,20230426,BABA
3,81895,20230427,BABA
4,79981,20230428,BABA
5,82244,20230429,BABA
6,199939,20230423,MU
0,187967,20230424,MU
1,205253,20230425,MU
2,194012,20230426,MU
3,205253,20230427,MU
4,214690,20230428,MU
5,189202,20230429,MU
6,152514,20230423,COST
0,163989,20230424,COST
1,180582,20230425,COST
2,178709,20230426,COST
3,178894,20230427,COST
4,167672,20230428,COST
5,140455,20230429,COST
6,478,20230423,UNH
0,688,20230424,UNH
1,703,20230425,UNH
2,704,20230426,UNH
3,543,20230427,UNH
4,610,20230428,UNH
5,564,20230429,UNH
6,2573,20230423,XOM
0,2704,20230424,XOM
1,2073,20230425,XOM
2,2316,20230426,XOM
3,2180,20230427,XOM
4,4412,20230428,XOM
5,2134,20230429,XOM
6,967,20230423,JNJ
0,1384,20230424,JNJ
1,1391,20230425,JNJ
2,6447,20230426,JNJ
3,6644,20230427,JNJ
4,2727,20230428,JNJ
5,768,20230429,JNJ
6,223,20230423,ABNB
0,272,20230424,ABNB
1,599,20230425,ABNB
2,638,20230426,ABNB
3,420,20230427,ABNB
4,388,20230428,ABNB
5,281,20230429,ABNB
6,819,20230423,NFLX
0,1321,20230424,NFLX
1,1579,20230425,NFLX
2,1823,20230426,NFLX
3,1236,20230427,NFLX
4,1618,20230428,NFLX
5,682,20230429,NFLX
6,485,20230423,SCHW
0,1047,20230424,SCHW
1,907,20230425,SCHW
2,400,20230426,SCHW
3,434,20230427,SCHW
4,373,20230428,SCHW
5,281,20230429,SCHW
6,1290766,20230423,AI
0,1384218,20230424,AI
1,1522365,20230425,AI
2,1501996,20230426,AI
3,1493428,20230427,AI
4,1443705,20230428,AI
5,1205988,20230429,AI
6,2065,20230423,LLY
0,1689,20230424,LLY
1,1393,20230425,LLY
2,1525,20230426,LLY
3,2161,20230427,LLY
4,1148,20230428,LLY
5,1438,20230429,LLY
6,65628,20230430,TSLA
0,10700,20230501,TSLA
1,27191,20230502,TSLA
2,100171,20230503,TSLA
3,56933,20230504,TSLA
4,200404,20230505,TSLA
5,515375,20230506,TSLA
6,1767,20230430,NVDA
0,6071,20230501,NVDA
1,19234,20230502,NVDA
2,4139,20230503,NVDA
3,3430,20230504,NVDA
4,3474,20230505,NVDA
5,1511,20230506,NVDA
6,2594,20230430,MSFT
0,4514,20230501,MSFT
1,6014,20230502,MSFT
2,4770,20230503,MSFT
3,5426,20230504,MSFT
4,6303,20230505,MSFT
5,3123,20230506,MSFT
6,4585,20230430,AAPL
0,21362,20230501,AAPL
1,8594,20230502,AAPL
2,7865,20230503,AAPL
3,17517,20230504,AAPL
4,157894,20230505,AAPL
5,21380,20230506,AAPL
6,103104,20230430,META
0,94115,20230501,META
1,116821,20230502,META
2,103747,20230503,META
3,95330,20230504,META
4,99704,20230505,META
5,99469,20230506,META
6,707,20230430,GOOGL
0,1611,20230501,GOOGL
1,1622,20230502,GOOGL
2,1234,20230503,GOOGL
3,1469,20230504,GOOGL
4,1794,20230505,GOOGL
5,777,20230506,GOOGL
6,156599,20230430,AMZN
0,153906,20230501,AMZN
1,152901,20230502,AMZN
2,159415,20230503,AMZN
3,155214,20230504,AMZN
4,157148,20230505,AMZN
5,151634,20230506,AMZN
6,22488,20230430,AMD
0,14420,20230501,AMD
1,21922,20230502,AMD
2,170504,20230503,AMD
3,51758,20230504,AMD
4,139756,20230505,AMD
5,331997,20230506,AMD
6,1789,20230430,GOOG
0,2721,20230501,GOOG
1,3140,20230502,GOOG
2,2648,20230503,GOOG
3,2959,20230504,GOOG
4,2978,20230505,GOOG
5,2024,20230506,GOOG
6,75492,20230430,BABA
0,78013,20230501,BABA
1,88145,20230502,BABA
2,77259,20230503,BABA
3,74707,20230504,BABA
4,77920,20230505,BABA
5,70317,20230506,BABA
6,213209,20230430,MU
0,184545,20230501,MU
1,205653,20230502,MU
2,214016,20230503,MU
3,186115,20230504,MU
4,224020,20230505,MU
5,196125,20230506,MU
6,158961,20230430,COST
0,156827,20230501,COST
1,163493,20230502,COST
2,177375,20230503,COST
3,170000,20230504,COST
4,165615,20230505,COST
5,151172,20230506,COST
6,331,20230430,UNH
0,536,20230501,UNH
1,497,20230502,UNH
2,604,20230503,UNH
3,476,20230504,UNH
4,636,20230505,UNH
5,363,20230506,UNH
6,2425,20230430,XOM
0,2299,20230501,XOM
1,3451,20230502,XOM
2,2615,20230503,XOM
3,1968,20230504,XOM
4,2672,20230505,XOM
5,2103,20230506,XOM
6,671,20230430,JNJ
0,1363,20230501,JNJ
1,1511,20230502,JNJ
2,1630,20230503,JNJ
3,1532,20230504,JNJ
4,962,20230505,JNJ
5,866,20230506,JNJ
6,456,20230430,ABNB
0,523,20230501,ABNB
1,439,20230502,ABNB
2,447,20230503,ABNB
3,473,20230504,ABNB
4,669,20230505,ABNB
5,545,20230506,ABNB
6,843,20230430,NFLX
0,1743,20230501,NFLX
1,1950,20230502,NFLX
2,1658,20230503,NFLX
3,1744,20230504,NFLX
4,1748,20230505,NFLX
5,414,20230506,NFLX
6,684,20230430,SCHW
0,528,20230501,SCHW
1,698,20230502,SCHW
2,843,20230503,SCHW
3,591,20230504,SCHW
4,544,20230505,SCHW
5,341,20230506,SCHW
6,1436944,20230430,AI
0,1689619,20230501,AI
1,1821233,20230502,AI
2,1645095,20230503,AI
3,1423753,20230504,AI
4,1476781,20230505,AI
5,1347155,20230506,AI
6,1217,20230430,LLY
0,1429,20230501,LLY
1,1163,20230502,LLY
2,2457,20230503,LLY
3,2055,20230504,LLY
4,1457,20230505,LLY
5,937,20230506,LLY
